"u,N,18,0","v,N,18,0","name,C,80"
1252991786,5567504394,Avenida Garcilazo de la Vega
1252992870,5431385363,Calle Cayetano Arenas
1252992870,4833689443,Avenida Miguel Forga
1252992870,2087449443,Avenida Miguel Forga
1252992870,10904424596,Calle Cayetano Arenas
1252993739,1264315042,
1252995416,5203304828,Calle Palacio Viejo
1252995416,5179104236,Calle Palacio Viejo
1252995416,5381354365,Calle Sucre
1252999279,1396135794,Bacaflor
1252999335,1264297848,Avenida Daniel Alcides Carrion
1252999335,5391133822,Calle El Palomar
1252999335,11015162770,Avenida Daniel Alcides Carrion
1252999562,7105673924,Avenida Mariscal Caceres
1252999562,2085078799,Avenida Quiroz
1252999562,1264289035,Avenida Quiroz
1252999562,7105673922,Avenida Salaverry
1253000420,11021360875,Gomez de la Torre
1253000420,10992522526,
1253000420,9632479562,Ciudad de las Corrientes
1253000420,9632479562,Ciudad de las Corrientes
1253000420,11021360824,
1253000690,5411415923,Calle Manuel Arrayanes
1253000690,1253014981,Mariscal Benavides
1253000690,5295946886,Mariscal Benavides
1253000709,5391127529,Luna Pizarro
1253000709,1264318216,Luna Pizarro
1253000709,5391127534,Calle Antonio Raymondi
1253000709,4052245158,Pasaje Campos
1253000767,5375755232,Calle Manuel Munoz Najar
1253000767,1264338519,Calle Manuel Munoz Najar
1253002123,5393843690,Ciudad de las Corrientes
1253002123,5377965382,Ciudad de las Corrientes
1253002123,4030247127,
1253002123,1264343152,
1253002760,5391133718,
1253002760,5391127602,
1253003144,4020778171,Avenida Pedro P. Diaz
1253003144,1264354250,Avenida Pedro P. Diaz
1253003569,5479090199,Avenida Victor Andres Belaunde
1253003891,1264307523,Calle San Juan de Dios
1253003891,10885702029,Calle Alto de la Luna
1253003891,1253037869,Calle Tristan
1253003891,4025080607,Calle San Juan de Dios
1253005222,5381354366,Avenida Lima
1253005222,1264337360,Avenida Lima
1253005222,1264284118,
1253005222,5391113982,Pasaje Cusco
1253005372,1264290980,
1253005372,5483426614,Enrique Pallardelli
1253005372,5204867622,
1253006228,1264365748,Gomez Sanchez
1253006228,1264365434,Avenida Andres Martinez
1253006228,1264340030,Avenida Andres Martinez
1253008354,11068021155,Calle Francisco Bolognesi
1253008354,1264319269,Portal de la Municipalidad
1253009219,1264293827,Calle Echevarria
1253009219,5200744112,Avenida Jorge Chavez
1253009219,5200744113,Calle Domingo Nieto
1253009219,1264287706,Calle Gutierrez de la Fuente
1253009219,5391108753,Avenida Jorge Chavez
1253010622,1264315595,Gomez Sanchez
1253010622,1264290171,Gomez Sanchez
1253010622,5391127555,
1253011195,11019063501,Calle Juan de Dios Salazar
1253011195,11019063507,Sebastian Barranca
1253011195,1264284392,Sebastian Barranca
1253011195,11019063498,
1253011499,1264294859,Calle Eduardo Lopez de Romana
1253011499,5706237829,Calle Los Inocentes
